CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,IPC,397,1,1
2,IPC,498A,1,1
2,DPACT,3,2,2
3,IPC,420,1,1
4,IPC,498A,1,1
4,DPACT,4,2,2
5,SCST,3(1)(r),1,1
6,ITACT,66C,1,1
7,IPC,307,1,1
8,ITACT,66,1,1
8,ITACT,66D,2,2
9,IPC,338,1,1
10,IPC,338,1,1
10,IPC,279,2,2
10,MVACT,185,3,3
11,IPC,457,1,1
11,IPC,447,2,2
12,IPC,506,1,1
12,IPC,326,2,2
12,IPC,325,3,3
12,IPC,363,4,4
13,ITACT,66,1,1
13,ITACT,66C,2,2
13,ITACT,66D,3,3
13,IPC,420,4,4
14,IPC,420,1,1
14,ITACT,66C,2,2
15,IPC,420,1,1
16,IPC,420,1,1
17,MVACT,184,1,1
17,IPC,279,2,2
18,IPC,302,1,1
19,IPC,392,1,1
20,IPC,392,1,1
20,IPC,379,2,2
21,IPC,304A,1,1
22,IPC,427,1,1
22,IPC,392,2,2
22,IPC,379,3,3
22,IPC,447,4,4
23,IPC,380,1,1
23,IPC,392,2,2
24,IPC,397,1,1
24,IPC,457,2,2
24,IPC,394,3,3
25,KPACT,96,1,1
26,DPACT,3,1,1
26,IPC,376,2,2
27,IPC,304A,1,1
27,MVACT,184,2,2
28,IPC,380,1,1
28,IPC,394,2,2
29,IPC,506,1,1
29,IPC,324,2,2
29,IPC,302,3,3
30,IPC,457,1,1
30,IPC,397,2,2
31,IPC,380,1,1
32,IPC,504,1,1
32,IPC,323,2,2
33,IPC,420,1,1
33,IPC,406,2,2
34,IPC,427,1,1
34,IPC,447,2,2
34,IPC,379,3,3
35,IPC,379,1,1
36,IPC,506,1,1
36,IPC,307,2,2
36,IPC,302,3,3
37,NDPS,27,1,1
38,IPC,363,1,1
38,IPC,307,2,2
38,IPC,506,3,3
39,IPC,338,1,1
40,IPC,394,1,1
41,KEXC,32,1,1
41,ARMS,25,2,2
42,IPC,397,1,1
43,IPC,394,1,1
43,IPC,392,2,2
44,IPC,326,1,1
44,IPC,324,2,2
