ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,1,1,2021-05-25,1,8,405,5616,,1,1,0
2,2,2,2021-07-27,1,11,486,6272,83.0,2,1,0
3,5,1,2021-09-27,1,26,664,7594,193.0,6,1,0
4,5,1,2021-09-07,1,26,664,7594,194.0,8,1,0
5,8,1,2022-01-29,2,36,523,6554,98.0,14,1,0
6,9,1,2021-06-30,1,2,248,3768,20.0,15,1,0
7,10,1,2021-10-29,1,1,178,2527,7.0,16,1,0
8,11,2,2021-09-10,1,15,542,6692,113.0,18,1,0
9,18,1,2021-04-12,1,7,382,5450,58.0,26,1,0
10,20,1,2021-10-31,1,35,730,8092,256.0,31,1,0
11,21,1,2021-09-30,1,7,388,5490,56.0,32,1,0
12,27,1,2021-07-14,1,10,468,6126,82.0,39,1,0
13,28,1,2021-12-11,1,2,213,3154,15.0,40,1,0
14,29,1,2021-12-07,1,5,344,5169,44.0,41,1,0
15,30,1,2021-09-30,1,12,509,6443,94.0,42,1,0
16,30,1,2021-10-15,7,43,509,6443,95.0,44,1,0
17,37,1,2021-05-20,1,17,572,6930,,53,1,0
18,38,2,2021-08-29,1,6,378,5416,50.0,54,1,0
19,41,1,2021-08-22,1,4,314,4889,33.0,56,1,0
20,43,2,2021-08-16,1,22,633,7368,165.0,60,1,0
21,44,1,2021-07-21,1,27,673,7658,196.0,62,1,0
22,47,1,2021-06-02,1,10,463,6083,76.0,63,1,0
23,48,1,2021-01-30,1,5,320,4990,43.0,64,1,0
24,52,2,2021-09-25,1,1,87,959,1.0,68,1,0
25,52,1,2021-09-14,1,1,87,959,7.0,70,1,0
26,55,1,2021-03-25,1,3,276,4238,21.0,72,1,0
27,59,1,2021-01-13,1,11,478,6206,87.0,82,1,0
28,62,1,2021-10-30,1,1,86,945,4.0,85,1,0
29,63,1,2021-03-17,1,5,349,5202,43.0,86,1,0
30,65,2,2021-05-31,1,1,164,2231,,88,1,0
31,65,1,2021-05-31,1,1,164,2231,2.0,90,1,0
32,66,1,2021-07-20,1,6,369,5355,,92,1,0
33,68,1,2021-08-05,1,11,490,6304,83.0,94,1,0
34,69,1,2021-02-15,1,29,692,7807,213.0,96,1,0
35,73,1,2021-04-29,1,1,77,766,,99,1,0
36,75,1,2021-09-11,1,2,240,3633,13.0,104,1,0
37,77,1,2021-01-29,1,29,695,7829,211.0,106,1,0
38,78,1,2021-07-02,1,11,473,6167,87.0,108,1,0
39,80,1,2021-10-18,1,1,145,1916,9.0,110,1,0
40,80,1,2021-10-16,1,1,145,1916,6.0,111,1,0
41,82,1,2021-07-28,1,13,524,6564,100.0,113,1,0
42,89,1,2021-08-29,1,10,455,6021,77.0,128,1,0
43,90,1,2021-12-16,1,1,47,189,7.0,129,1,0
44,93,1,2021-10-15,1,6,360,5286,49.0,132,1,0
45,95,1,2021-04-27,1,1,197,2865,7.0,136,1,0
46,96,1,2021-04-30,2,37,75,740,5.0,139,1,0
47,97,1,2021-04-10,3,38,103,1211,,140,1,0
48,98,1,2021-02-10,1,2,240,3640,12.0,142,1,0
49,99,1,2021-06-11,1,1,45,156,4.0,143,1,0
50,101,2,2021-06-03,1,2,247,3761,13.0,145,1,0
51,102,1,2021-04-22,1,9,428,5807,70.0,146,1,0
52,105,1,2021-10-06,1,1,202,2945,6.0,152,1,0
53,107,1,2021-06-11,1,1,195,2830,7.0,153,1,0
54,112,1,2021-05-14,1,30,700,7865,222.0,158,1,0
55,113,1,2021-07-23,5,40,298,4612,36.0,159,1,0
56,113,1,2021-08-01,1,4,298,4612,36.0,161,1,0
57,117,1,2021-04-21,1,17,571,6923,125.0,166,1,0
58,118,2,2021-04-30,1,2,250,3792,16.0,167,1,0
59,123,2,2021-03-06,1,35,732,8119,253.0,172,1,0
60,124,1,2021-06-29,1,31,709,7935,225.0,176,1,0
61,125,2,2021-06-18,1,10,468,6121,80.0,179,1,0
62,128,1,2021-07-04,1,11,483,6247,83.0,180,1,0
63,128,1,2021-08-02,1,11,483,6247,84.0,182,1,0
64,130,1,2021-12-04,1,1,194,2819,6.0,184,1,0
65,130,1,2021-11-28,1,1,194,2819,4.0,185,1,0
