CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2021-08-12 23:44:26.198980,A,5616
2,2,2021-09-27 14:51:26.839481,A,6272
3,3,2022-04-20 10:56:53.723764,A,7141
4,4,2021-11-29 12:18:23.804412,A,3408
5,6,2021-05-16 06:35:03.993466,C,805
6,8,2022-06-08 21:20:39.063069,A,6554
7,9,2021-10-12 17:52:39.865697,A,3768
8,10,2021-12-26 23:52:02.493913,A,2527
9,11,2021-12-11 06:43:52.619703,A,6692
10,13,2021-12-31 08:26:21.457069,A,4269
11,18,2021-06-27 13:09:19.741400,A,5450
12,20,2021-12-19 06:33:21.202829,C,8092
13,21,2021-10-22 15:57:38.280235,A,5490
14,24,2022-01-06 12:00:34.808848,C,5189
15,25,2021-06-24 20:47:40.361840,A,6234
16,27,2021-08-19 14:49:00.431547,A,6126
17,28,2022-03-03 21:27:48.985213,A,3154
18,29,2022-03-19 18:44:11.758447,C,5169
19,30,2022-05-28 04:41:55.149888,A,6443
20,31,2022-01-22 02:21:59.889576,C,2968
21,32,2022-03-01 23:10:15.516423,B,6103
22,34,2021-09-22 01:38:54.423332,A,6969
23,35,2022-01-08 23:56:24.617765,C,4481
24,37,2021-08-17 06:13:44.185392,A,6930
25,38,2021-11-18 23:03:39.989141,A,5416
26,40,2021-03-05 07:47:09.387905,A,766
27,41,2021-11-12 20:55:02.872603,A,4889
28,43,2021-11-25 14:54:21.091022,A,7368
29,44,2021-08-25 09:12:12.856467,A,7658
30,45,2021-11-30 03:00:12.509641,A,6561
31,47,2021-09-22 14:55:53.760208,A,6083
32,48,2021-02-19 14:20:38.332932,A,4990
33,51,2022-03-22 12:39:05.549085,A,7189
34,52,2021-11-21 04:47:48.050281,A,959
35,55,2021-05-17 18:51:11.447089,A,4238
36,56,2021-11-26 01:32:37.186839,C,4213
37,57,2022-02-23 15:12:56.690731,C,8097
38,59,2021-03-06 14:02:56.961129,A,6206
39,60,2021-07-14 08:28:19.782430,A,3400
40,61,2022-02-27 03:09:56.433095,A,3521
41,62,2022-02-21 06:01:44.187842,A,945
42,63,2021-05-12 08:10:17.478672,A,5202
43,65,2021-07-31 19:38:06.409566,A,2231
44,66,2021-11-02 02:32:13.890186,A,5355
45,67,2021-12-26 08:51:27.353561,A,5083
46,68,2021-09-08 10:10:36.412449,A,6304
47,69,2021-07-19 23:35:06.738421,A,7807
48,70,2022-01-13 09:41:04.004582,C,6623
49,73,2021-07-23 07:18:23.814763,A,766
50,75,2022-02-06 18:42:32.775046,A,3633
51,76,2021-09-22 02:08:07.470493,A,7410
52,77,2021-06-07 09:37:17.082085,A,7829
53,78,2021-09-13 02:30:57.121508,A,6167
54,80,2021-12-28 03:08:23.673912,A,1916
55,82,2021-09-03 10:22:52.678523,C,6564
56,83,2021-03-13 17:52:07.427153,A,5703
57,87,2021-07-25 06:30:47.491794,C,1585
58,89,2021-11-27 00:00:10.744687,A,6021
59,90,2022-03-14 22:32:41.108210,A,189
60,93,2021-12-13 16:02:30.181123,A,5286
61,94,2021-04-01 11:30:22.622265,B,7371
62,95,2021-09-25 04:37:23.855212,A,2865
63,96,2021-08-21 17:24:59.814750,A,740
64,97,2021-05-25 20:33:50.966704,A,1211
65,98,2021-05-30 11:09:41.574027,A,3640
66,99,2021-08-30 02:17:39.127475,A,156
67,101,2021-08-09 18:40:41.017878,A,3761
68,102,2021-07-03 11:48:54.649657,C,5807
69,105,2021-11-25 03:58:49.960219,A,2945
70,107,2021-06-26 03:22:43.504420,A,2830
71,108,2021-08-04 20:45:29.494738,C,5605
72,112,2021-06-06 21:21:17.913208,A,7865
73,113,2021-11-16 08:20:42.981016,A,4612
74,116,2021-12-17 21:31:00.804923,A,6725
75,117,2021-05-25 17:36:03.338627,A,6923
76,118,2021-05-23 17:03:26.950827,A,3792
77,119,2021-05-16 11:27:29.494882,C,1340
78,120,2021-11-10 23:45:23.758777,B,7602
79,121,2021-12-23 16:32:58.564711,A,4443
80,123,2021-04-08 08:33:16.133404,B,8119
81,124,2021-11-02 11:40:08.514488,B,7935
82,125,2021-08-22 07:58:21.264944,A,6121
83,126,2022-02-19 12:21:02.813688,A,6395
84,128,2021-10-04 02:11:49.666626,A,6247
85,130,2021-12-30 15:18:20.373609,A,2819
86,131,2021-08-23 10:57:08.157518,A,6378
87,132,2021-10-18 13:34:15.855620,C,7363
88,134,2021-07-01 13:54:52.162756,A,3434
89,137,2021-07-06 22:11:15.442061,A,7498
90,138,2022-04-18 11:55:27.902543,B,6801
91,140,2021-06-05 22:58:30.927564,C,5664
92,141,2022-01-17 14:53:34.198760,A,4559
93,143,2021-12-27 09:56:24.517976,A,5228
94,144,2021-04-25 14:37:20.256505,C,3725
95,148,2021-05-10 05:16:16.875102,A,1330
96,149,2021-06-14 19:03:07.625530,A,5704
97,150,2021-02-18 21:34:29.512787,C,7490
98,153,2021-12-06 09:41:14.678223,B,7002
99,155,2021-11-13 23:28:55.757213,A,8092
100,156,2021-09-25 03:00:29.372977,C,7792
101,157,2021-02-08 08:48:57.841485,C,4287
102,159,2021-05-31 11:17:27.173105,A,5274
103,161,2022-05-28 09:59:24.751884,A,3592
104,162,2022-03-06 08:25:37.142396,C,417
105,163,2021-07-10 09:17:38.839861,A,5169
106,166,2022-05-25 04:25:38.085766,C,7689
107,167,2022-08-04 02:46:47.061343,A,4130
108,168,2021-05-25 19:45:41.083427,A,7385
109,169,2022-01-10 04:21:28.605673,A,5247
110,170,2021-11-15 00:09:02.293304,A,1151
111,172,2021-08-11 17:54:03.438423,A,3455
112,175,2021-05-11 00:53:11.452418,A,7795
