CaseMasterID,OccuranceFromDate,OccuranceToDate,latitude,longitude
1,2021-05-18 01:43:45.979278,2021-05-18 05:09:14.016294,,
2,2021-06-27 12:05:56.925653,,14.47084,75.918623
3,2021-12-03 22:37:28.455682,2021-12-04 02:37:19.284993,12.502078,76.953189
4,2021-10-02 09:11:48.171931,2021-10-02 10:26:33.056234,12.282477,76.601417
5,2021-08-31 04:59:53.732449,,16.747999,77.087826
6,2021-04-16 08:24:10.717926,2021-04-16 09:14:37.854219,13.051727,77.524958
7,2021-12-18 23:36:15.384612,2021-12-19 01:03:16.400626,15.898888,74.434834
8,2021-12-21 09:59:10.348197,2021-12-21 11:17:18.459340,12.962834,77.585356
9,2021-06-18 08:18:38.848011,2021-06-18 08:27:47.867709,12.311411,76.524854
10,2021-10-26 15:07:40.965771,2021-10-26 17:07:40.965771,12.956101,77.586116
11,2021-08-21 22:14:44.434149,2021-08-21 22:33:36.742121,12.728762,75.293091
12,2021-06-02 19:50:35.037403,,15.053576,76.872189
13,2021-07-04 09:58:43.436822,,13.005443,74.759728
14,2021-04-22 09:42:48.793239,,12.941754,77.627152
15,2021-05-06 06:17:20.044222,,13.011279,77.381381
16,2021-02-28 09:27:40.553324,2021-02-28 12:04:24.392057,12.182731,76.597148
17,2021-07-30 19:56:28.455213,2021-07-30 20:03:55.605035,,
18,2021-04-03 11:20:01.917938,,14.121067,75.632136
19,2021-05-26 01:23:06.490837,2021-05-26 02:47:03.370955,15.152194,76.413627
20,2021-10-20 05:52:11.287135,2021-10-20 07:30:40.428355,,
21,2021-09-23 10:34:31.257944,2021-09-23 16:19:47.910184,13.971741,75.545515
22,2021-07-01 00:10:46.862571,2021-07-01 01:52:38.574717,15.520626,75.118726
23,2021-02-12 01:24:42.896665,2021-02-12 04:01:34.805275,13.312525,76.869099
24,2021-10-16 03:46:03.800940,2021-10-16 05:16:14.710701,,
25,2021-05-07 12:17:06.414899,,14.258664,75.895343
26,2021-12-25 12:04:19.284648,2021-12-25 12:41:50.604897,14.551567,76.015687
27,2021-07-09 19:42:05.037412,2021-07-09 20:56:58.221430,13.071997,76.031712
28,2021-10-03 02:40:07.011245,2021-10-03 03:18:28.030411,12.337322,76.661571
29,2021-12-02 09:20:44.204785,2021-12-02 11:20:44.204785,,
30,2021-09-24 07:39:04.623979,2021-09-24 08:09:06.769625,16.85094,75.693268
31,2021-11-16 17:06:56.739485,2021-11-16 19:06:56.739485,13.125857,77.600905
32,2021-11-29 00:56:10.527364,,,
33,2021-10-08 14:49:47.773733,,17.313282,76.631879
34,2021-07-12 00:01:08.340977,2021-07-12 00:33:40.490727,14.104721,76.480856
35,2021-10-17 01:53:13.217013,2021-10-17 06:12:04.098795,15.333354,75.165574
36,2021-08-15 10:08:17.943159,2021-08-15 12:08:17.943159,13.439119,77.107435
37,2021-05-18 07:39:15.428535,2021-05-18 08:18:41.953205,14.052748,76.373319
38,2021-08-24 00:11:59.164960,2021-08-24 01:40:11.448818,13.394272,77.137576
39,2021-02-09 07:54:31.679476,,12.858671,74.896849
40,2021-01-16 04:22:06.945882,,13.007072,77.66467
41,2021-08-21 09:00:45.106721,2021-08-21 10:42:17.121158,15.153711,75.222852
42,2021-01-30 23:59:29.915430,2021-01-31 00:01:52.749914,15.883731,74.544145
43,2021-08-01 00:01:47.829852,2021-08-01 00:08:40.637026,16.266552,75.608684
44,2021-07-12 02:54:51.646811,2021-07-12 06:35:26.845683,,
45,2021-08-27 11:10:28.850190,,13.073329,77.695032
46,2021-02-21 17:18:04.540861,2021-02-21 17:55:54.115668,,
47,2021-05-31 14:00:41.377986,2021-05-31 19:10:05.447293,13.066521,76.075408
48,2021-01-28 14:08:28.207656,2021-01-28 15:50:57.950229,15.750277,74.591814
49,2021-08-29 20:39:30.053175,2021-08-30 00:00:17.147080,12.709416,77.251352
50,2021-05-14 22:13:39.815403,,,
51,2021-12-26 05:18:56.834733,2021-12-26 05:32:28.190801,16.154167,77.296224
52,2021-09-10 13:30:24.093341,,12.994634,77.598614
53,2021-04-10 03:09:17.831553,2021-04-10 03:11:17.882756,17.121819,76.933113
54,2021-08-04 12:38:26.569823,2021-08-04 13:04:42.821199,,
55,2021-03-05 11:30:55.615444,2021-03-05 11:54:36.315037,12.676619,74.793662
56,2021-11-08 12:18:39.320323,,12.916295,74.760545
57,2021-12-23 00:59:09.417865,,17.059299,76.952424
58,2021-04-21 12:32:54.148219,2021-04-21 15:13:29.730118,,
59,2021-01-10 03:26:39.079570,,14.487488,75.961252
60,2021-05-02 08:13:45.149209,2021-05-02 10:13:45.149209,12.327665,76.481884
61,2021-11-26 11:21:06.734222,2021-11-26 12:36:35.713052,12.328116,76.424441
62,2021-10-29 01:47:32.108234,,12.924946,77.601675
63,2021-03-04 11:56:07.959013,2021-03-04 13:49:28.635799,16.032843,74.424835
64,2021-12-25 14:25:00.471355,2021-12-25 19:33:39.978513,13.020837,77.672286
65,2021-05-30 16:36:55.992610,2021-05-30 18:21:48.084872,12.920403,77.467584
66,2021-06-06 22:04:26.284909,2021-06-06 22:56:09.676542,13.220961,77.127864
67,2021-10-31 04:22:55.054850,2021-10-31 04:51:42.144757,15.807693,74.48148
68,2021-08-03 20:39:40.007272,,14.267182,75.804467
