ArrestSurrenderID,AccusedMasterID
1,1
2,2
3,6
3,7
4,8
4,9
5,14
6,15
7,16
7,17
8,18
9,26
10,31
11,32
12,39
13,40
14,41
15,42
15,43
16,44
16,45
17,53
18,54
19,56
20,60
20,61
21,62
22,63
23,64
23,65
23,66
24,68
24,69
25,70
25,71
26,72
26,73
26,74
26,75
27,82
27,83
28,85
29,86
30,88
30,89
31,90
31,91
32,92
33,94
33,95
34,96
34,97
35,99
36,104
36,105
37,106
37,107
38,108
39,110
40,111
41,113
41,114
41,115
41,116
42,128
43,129
44,132
44,133
45,136
45,137
45,138
46,139
47,140
47,141
48,142
49,143
50,145
51,146
52,152
53,153
54,158
55,159
55,160
56,161
56,162
57,166
58,167
58,168
58,169
58,170
59,172
59,173
59,174
59,175
60,176
60,177
60,178
61,179
62,180
62,181
63,182
63,183
64,184
65,185
66,190
67,191
67,192
67,193
67,194
67,195
67,196
67,197
67,198
67,199
67,200
67,201
68,202
68,203
69,205
70,206
71,208
72,209
73,218
73,219
74,220
74,221
75,222
76,223
77,233
77,234
78,235
78,236
79,237
80,238
81,239
81,240
81,241
81,242
82,243
83,244
84,245
84,246
85,247
86,248
87,251
88,253
89,254
89,255
90,258
91,259
92,262
93,263
93,264
94,266
95,267
96,268
97,269
98,270
99,275
100,276
101,277
101,278
102,279
102,280
103,283
104,284
105,287
105,288
106,290
106,291
107,292
107,293
108,294
109,295
110,296
111,297
112,298
113,303
114,305
115,306
115,307
116,308
117,309
118,310
119,311
119,312
120,313
121,325
122,326
123,327
124,329
125,330
126,331
127,340
128,341
129,344
130,345
131,347
132,348
133,349
134,350
135,353
136,354
137,355
138,356
139,358
140,361
141,363
142,366
142,367
142,368
143,369
144,376
145,377
145,378
145,379
145,380
146,381
146,382
146,383
147,384
147,385
148,386
148,387
148,388
148,389
149,390
150,392
150,393
151,394
151,395
152,396
153,397
153,398
153,399
154,400
155,401
156,402
156,403
157,404
157,405
158,407
159,411
160,412
160,413
160,414
160,415
160,416
160,417
160,418
160,419
160,420
161,421
162,422
162,423
163,424
163,425
163,426
164,427
164,428
165,435
165,436
166,437
166,438
167,441
168,443
169,446
169,447
170,448
170,449
171,450
172,451
173,453
174,454
175,455
176,458
176,459
176,460
176,461
177,462
177,463
178,473
179,474
180,478
180,479
180,480
181,481
181,482
181,483
182,484
183,485
184,486
184,487
185,492
186,493
187,494
188,496
189,501
189,502
190,503
191,505
192,507
193,508
194,509
194,510
195,511
196,515
196,516
197,519
198,530
199,533
199,534
200,538
201,542
202,543
202,544
203,545
204,546
204,547
205,548
206,549
206,550
207,552
208,560
208,561
209,562
209,563
210,567
210,568
210,569
210,570
211,571
211,572
211,573
211,574
212,578
213,580
214,581
215,583
216,586
217,587
218,589
218,590
219,591
220,592
221,594
221,595
222,596
223,597
224,598
225,599
226,604
227,605
228,606
229,607
230,608
230,609
231,613
232,614
232,615
233,617
234,621
234,622
235,623
236,628
236,629
236,630
237,632
237,633
238,634
239,638
240,639
241,643
242,644
242,645
242,646
242,647
243,648
244,652
244,653
244,654
244,655
245,656
245,657
246,658
247,659
248,660
249,661
250,662
251,664
252,665
252,666
253,667
253,668
253,669
254,670
254,671
254,672
255,673
256,674
257,675
257,676
258,677
258,678
258,679
259,680
260,687
260,688
261,689
262,690
263,691
264,692
264,693
264,694
264,695
264,696
264,697
264,698
264,699
264,700
265,701
266,705
266,706
266,707
266,708
267,709
267,710
268,718
269,720
270,722
270,723
271,724
271,725
272,726
272,727
273,728
273,729
274,730
275,731
276,732
277,733
278,739
279,740
280,741
281,742
282,744
283,750
284,751
284,752
285,753
285,754
286,755
287,757
288,759
288,760
289,764
290,768
290,769
291,770
291,771
292,772
293,773
293,774
293,775
294,776
295,777
296,779
297,780
298,781
298,782
299,783
299,784
300,785
301,786
302,787
302,788
303,789
303,790
304,791
305,795
305,796
306,799
307,800
308,801
309,803
309,804
309,805
310,806
311,807
312,812
313,813
314,815
315,819
316,820
317,821
318,823
319,828
319,829
319,830
319,831
319,832
319,833
319,834
319,835
319,836
319,837
319,838
320,841
321,844
322,845
323,846
323,847
324,848
324,849
324,850
325,851
326,858
327,860
327,861
328,862
328,863
328,864
328,865
328,866
328,867
328,868
329,869
330,874
331,875
331,876
332,877
332,878
333,882
334,883
335,888
335,889
335,890
335,891
336,892
336,893
337,897
337,898
337,899
337,900
338,901
339,904
339,905
339,906
340,912
340,913
341,914
342,917
343,918
343,919
344,920
344,921
345,922
346,923
346,924
347,925
348,927
